Brand,Name,Price,Delivery,Return/Exchange,Availability,Product Link
Kadence,"Kadence 40 Incheses Frontier Series, rosewood Semi Acoustic Guitar With Die Cast Keys (Bag,Strap,Strings And 3 Picks) (Natural)","5,397","Wednesday, 28 December",7 days Replacement,In stock.,https://www.amazon.in/Kadence-Frontier-Acoustic-Natural-Equalizer/dp/B01I50UJG6/ref=sr_1_12?crid=2WL0QRE4DVVCT&keywords=Guitar&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=8-12
Intern,Intern Int-38c Sunburst Linden Wood Acoustic Guitar Kit with Carry Bag and Picks,"2,099",January 2 - 5,7 days Replacement,,https://www.amazon.in/Intern-INT-38C-Sunburst-Acoustic-Guitar/dp/B07X1J4D3Z/ref=sr_1_13?crid=2WL0QRE4DVVCT&keywords=Guitar&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=8-13
YAMAHA,"Yamaha F280 Acoustic Rosewood Guitar (Natural, Beige)","7,490","Thursday, 29 December",7 days Replacement,Only 2 left in stock.,https://www.amazon.in/Yamaha-F280-Acoustic-Guitar-Natural/dp/B08317Y4VP/ref=sr_1_14?crid=2WL0QRE4DVVCT&keywords=Guitar&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=8-14
Fender,Fender CD 60 Dread V3 DS 6 String Acoustic Guitar - Walnut Fretboard-Black Right-Handed One of The Most reputed Guitar Brands in the World. 0970110506,"12,499","Wednesday, 28 December",7 days Replacement,Only 1 left in stock (more on the way).,https://www.amazon.in/Fender-Dread-String-Acoustic-Guitar/dp/B07RM4B5LJ/ref=sxin_24?asc_contentid=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.939c6bd1-1a0e-48f0-a138-af961f88b523%3Aamzn1.sym.939c6bd1-1a0e-48f0-a138-af961f88b523&creativeASIN=B07RM4B5LJ&crid=2WL0QRE4DVVCT&cv_ct_cx=Guitar&cv_ct_id=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=Guitar&linkCode=oas&pd_rd_i=B07RM4B5LJ&pd_rd_r=201a1666-0aeb-45c6-b6bd-fb56d3be737b&pd_rd_w=OFVp5&pd_rd_wg=x2OtZ&pf_rd_p=939c6bd1-1a0e-48f0-a138-af961f88b523&pf_rd_r=1X9KWAZMPH1GNX462FN9&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=1-1-c84eb971-91f2-4a4d-acce-811265c24254&tag=sm-content-21
YAMAHA,"Yamaha FS100C Acoustic Guitar, Natural","9,990","Thursday, 29 December",7 days Replacement,In stock.,https://www.amazon.in/Yamaha-FS100C-Acoustic-Guitars-Natural/dp/B00QKD79QE/ref=sxin_24?asc_contentid=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.939c6bd1-1a0e-48f0-a138-af961f88b523%3Aamzn1.sym.939c6bd1-1a0e-48f0-a138-af961f88b523&creativeASIN=B00QKD79QE&crid=2WL0QRE4DVVCT&cv_ct_cx=Guitar&cv_ct_id=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=Guitar&linkCode=oas&pd_rd_i=B00QKD79QE&pd_rd_r=201a1666-0aeb-45c6-b6bd-fb56d3be737b&pd_rd_w=OFVp5&pd_rd_wg=x2OtZ&pf_rd_p=939c6bd1-1a0e-48f0-a138-af961f88b523&pf_rd_r=1X9KWAZMPH1GNX462FN9&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=1-2-c84eb971-91f2-4a4d-acce-811265c24254&tag=sm-content-21
HOVNER,"Hovner 215 Black F-Cut Rosewood Fretboard Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks By K-Retail","4,480","Sunday, 1 January",7 days Replacement,In stock.,https://www.amazon.in/Rosewood-Fretboard-Acoustic-Strings-K-Retail/dp/B07KLG8C4P/ref=sxin_24?asc_contentid=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.939c6bd1-1a0e-48f0-a138-af961f88b523%3Aamzn1.sym.939c6bd1-1a0e-48f0-a138-af961f88b523&creativeASIN=B07KLG8C4P&crid=2WL0QRE4DVVCT&cv_ct_cx=Guitar&cv_ct_id=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=Guitar&linkCode=oas&pd_rd_i=B07KLG8C4P&pd_rd_r=201a1666-0aeb-45c6-b6bd-fb56d3be737b&pd_rd_w=OFVp5&pd_rd_wg=x2OtZ&pf_rd_p=939c6bd1-1a0e-48f0-a138-af961f88b523&pf_rd_r=1X9KWAZMPH1GNX462FN9&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=1-3-c84eb971-91f2-4a4d-acce-811265c24254&tag=sm-content-21
Kadence,"Kadence Guitar Acoustica Series, 41” Jumbo Size 6-strings Acoustic Guitar, Spruce body with Pick Guard A311 with bag… B07JKYWGJN (KAD-A-311)","6,998","Thursday, 29 December",7 days Replacement,In stock.,https://www.amazon.in/Kadence-6-strings-Acoustic-Guitar-Natural/dp/B07JKYWGJN/ref=sxin_24?asc_contentid=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.939c6bd1-1a0e-48f0-a138-af961f88b523%3Aamzn1.sym.939c6bd1-1a0e-48f0-a138-af961f88b523&creativeASIN=B07JKYWGJN&crid=2WL0QRE4DVVCT&cv_ct_cx=Guitar&cv_ct_id=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=Guitar&linkCode=oas&pd_rd_i=B07JKYWGJN&pd_rd_r=201a1666-0aeb-45c6-b6bd-fb56d3be737b&pd_rd_w=OFVp5&pd_rd_wg=x2OtZ&pf_rd_p=939c6bd1-1a0e-48f0-a138-af961f88b523&pf_rd_r=1X9KWAZMPH1GNX462FN9&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=1-4-c84eb971-91f2-4a4d-acce-811265c24254&tag=sm-content-21
YAMAHA,"YAMAHA F310, 6-Strings Rose Wood Acoustic Guitar, Natural","9,295","Thursday, 29 December",7 days Replacement,In stock.,https://www.amazon.in/Yamaha-F310-6-Strings-Acoustic-Natural/dp/B000RVYW7E/ref=sxin_25_popular-discounts-recommendation_1?content-id=amzn1.sym.dac31162-3df0-4be0-bc88-c9bb94af2fa9%3Aamzn1.sym.dac31162-3df0-4be0-bc88-c9bb94af2fa9&crid=2WL0QRE4DVVCT&cv_ct_cx=Guitar&keywords=Guitar&pd_rd_i=B000RVYW7E&pd_rd_r=201a1666-0aeb-45c6-b6bd-fb56d3be737b&pd_rd_w=o4IYL&pd_rd_wg=x2OtZ&pf_rd_p=dac31162-3df0-4be0-bc88-c9bb94af2fa9&pf_rd_r=1X9KWAZMPH1GNX462FN9&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=1-1-df273b7b-639b-496b-8427-b1aabaae8e8a
YAMAHA,"Yamaha F310-TBS Right Handed Acoustic Guitar (Tobacco Sunburst, 6-Strings)","9,449","Thursday, 29 December",7 days Replacement,In stock.,https://www.amazon.in/Yamaha-Acoustic-Guitar-Tobacco-Sunburst/dp/B08Z35ZR9Y/ref=sxin_25_popular-discounts-recommendation_3?content-id=amzn1.sym.dac31162-3df0-4be0-bc88-c9bb94af2fa9%3Aamzn1.sym.dac31162-3df0-4be0-bc88-c9bb94af2fa9&crid=2WL0QRE4DVVCT&cv_ct_cx=Guitar&keywords=Guitar&pd_rd_i=B08Z35ZR9Y&pd_rd_r=201a1666-0aeb-45c6-b6bd-fb56d3be737b&pd_rd_w=o4IYL&pd_rd_wg=x2OtZ&pf_rd_p=dac31162-3df0-4be0-bc88-c9bb94af2fa9&pf_rd_r=1X9KWAZMPH1GNX462FN9&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=1-2-df273b7b-639b-496b-8427-b1aabaae8e8a
Ibanez,"Ibanez GRX - 40 - BKN, 6 Strings Electric Guitar, Right-Handed, Black Night, without case","16,399","Wednesday, 28 December",7 days Replacement,In stock.,https://www.amazon.in/Ibanez-GRX-Strings-Electric-Right-Handed/dp/B000XXO7B2/ref=sxin_25_popular-discounts-recommendation_4?content-id=amzn1.sym.dac31162-3df0-4be0-bc88-c9bb94af2fa9%3Aamzn1.sym.dac31162-3df0-4be0-bc88-c9bb94af2fa9&crid=2WL0QRE4DVVCT&cv_ct_cx=Guitar&keywords=Guitar&pd_rd_i=B000XXO7B2&pd_rd_r=201a1666-0aeb-45c6-b6bd-fb56d3be737b&pd_rd_w=o4IYL&pd_rd_wg=x2OtZ&pf_rd_p=dac31162-3df0-4be0-bc88-c9bb94af2fa9&pf_rd_r=1X9KWAZMPH1GNX462FN9&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=1-3-df273b7b-639b-496b-8427-b1aabaae8e8a
