Brand,Name,RAM,ROM,Display,Camera,Battery Capacity,Colour,Price,Product Link
OnePlus,"OnePlus Nord 2 5G (PAC-MAN, 256 GB)  (12 GB RAM)",12 GB RAM , 256 GB ROM,16.33 cm (6.43 inch) Display,50MP Rear Camera,4500 mAh Battery,PAC-MAN,"₹37,990",https://www.flipkart.com/oneplus-nord-2-5g-pac-man-256-gb/p/itmc88e4a702db46?pid=MOBGEYH6EJGAWMFT&lid=LSTMOBGEYH6EJGAWMFTQWAYZF&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGEYH6EJGAWMFT.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord 2 5G (Gray Sierra, 256 GB)  (12 GB RAM)",12 GB RAM , 256 GB ROM,16.33 cm (6.43 inch) Display,50MP Rear Camera,4500 mAh Battery,Gray Sierra,"₹34,499",https://www.flipkart.com/oneplus-nord-2-5g-gray-sierra-256-gb/p/itmc88e4a702db46?pid=MOBGDBFRAPSY7GFZ&lid=LSTMOBGDBFRAPSY7GFZNE2WJN&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGDBFRAPSY7GFZ.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord 2 5G (Green Wood, 256 GB)  (12 GB RAM)",12 GB RAM , 256 GB ROM,16.33 cm (6.43 inch) Display,50MP Rear Camera,4500 mAh Battery,Green Wood,"₹34,499",https://www.flipkart.com/oneplus-nord-2-5g-green-wood-256-gb/p/itmc88e4a702db46?pid=MOBGE7D9U2RVQPH7&lid=LSTMOBGE7D9U2RVQPH7SYU8PJ&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&spotlightTagId=TrendingId_tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGE7D9U2RVQPH7.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)  (6 GB RAM)",6 GB RAM , 128 GB ROM,16.74 cm (6.59 inch) Display,64MP Rear Camera,5000 mAh Battery,Black Dusk,"₹19,999",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itmbf614aea78882?pid=MOBGH54YTDAJBZSR&lid=LSTMOBGH54YTDAJBZSRZD2SSQ&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGH54YTDAJBZSR.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord 2 5G (Gray Sierra, 128 GB)  (8 GB RAM)",8 GB RAM , 128 GB ROM,16.33 cm (6.43 inch) Display,50MP Rear Camera,4500 mAh Battery,Gray Sierra,"₹19,699",https://www.flipkart.com/oneplus-nord-2-5g-gray-sierra-128-gb/p/itmc88e4a702db46?pid=MOBGDBFFA5EGECHQ&lid=LSTMOBGDBFFA5EGECHQ8R33XE&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGDBFFA5EGECHQ.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord 2T 5G (Jade Fog, 128 GB)  (8 GB RAM)",8 GB RAM , 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,4500 mAh Battery,Jade Fog,"₹28,987",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-128-gb/p/itm97eda8b1a1566?pid=MOBGJMUHQV7XU4GH&lid=LSTMOBGJMUHQV7XU4GHO5UESC&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGJMUHQV7XU4GH.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord 2T 5G (Jade Fog, 256 GB)  (12 GB RAM)",12 GB RAM , 256 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,4500 mAh Battery,Jade Fog,"₹33,999",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-256-gb/p/itm97eda8b1a1566?pid=MOBGGA29UT2G9QW3&lid=LSTMOBGGA29UT2G9QW3HVHOEB&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGGA29UT2G9QW3.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord CE 2 5G (Gray Mirror, 128 GB)  (8 GB RAM)",8 GB RAM , 128 GB ROM,16.33 cm (6.43 inch) Display,50MP Rear Camera,4500 mAh Battery,Gray Mirror,"₹24,999",https://www.flipkart.com/oneplus-nord-ce-2-5g-gray-mirror-128-gb/p/itm2a9883679c57c?pid=MOBGHHZDYQHWEGMX&lid=LSTMOBGHHZDYQHWEGMXBZPAN1&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGHHZDYQHWEGMX.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord 2T 5G (Jade Fog, 128 GB)  (8 GB RAM)",8 GB RAM , 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,4500 mAh Battery,Jade Fog,"₹28,999",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-128-gb/p/itm97eda8b1a1566?pid=MOBGHHYZVXCMYDSR&lid=LSTMOBGHHYZVXCMYDSRN0GOJY&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGHHYZVXCMYDSR.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord 2T 5G (Gray Shadow, 256 GB)  (12 GB RAM)",12 GB RAM , 256 GB ROM,16.94 cm (6.67 inch) Display,50MP Rear Camera,4500 mAh Battery,Gray Shadow,"₹33,869",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-256-gb/p/itm97eda8b1a1566?pid=MOBGGCHFNMZDKZTV&lid=LSTMOBGGCHFNMZDKZTVBJYMHD&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGGCHFNMZDKZTV.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)  (8 GB RAM)",8 GB RAM , 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,4500 mAh Battery,Gray Shadow,"₹28,999",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-128-gb/p/itm97eda8b1a1566?pid=MOBGFX6BHG7H3AQG&lid=LSTMOBGFX6BHG7H3AQGFF7XSN&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGFX6BHG7H3AQG.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord 2T 5G (Gray Shadow, 256 GB)  (12 GB RAM)",12 GB RAM , 256 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,4500 mAh Battery,Gray Shadow,"₹33,860",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-256-gb/p/itm97eda8b1a1566?pid=MOBGHHYEMNFZGE4W&lid=LSTMOBGHHYEMNFZGE4WYWVQKY&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGHHYEMNFZGE4W.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord 2T 5G (Jade Fog, 256 GB)  (12 GB RAM)",12 GB RAM , 256 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,4500 mAh Battery,Jade Fog,"₹33,999",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-256-gb/p/itm97eda8b1a1566?pid=MOBGFX6PB4EGYBW8&lid=LSTMOBGFX6PB4EGYBW8PMUUET&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBGFX6PB4EGYBW8.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
OnePlus,"OnePlus Nord (Gray Onyx, 256 GB)  (12 GB RAM)",12 GB RAM , 256 GB ROM,16.36 cm (6.44 inch) Full HD+ Display,48MP + 8MP | 32MP + 8MP Dual Front Camera,4115 mAh Battery,Gray Onyx,"₹29,999",https://www.flipkart.com/oneplus-nord-gray-onyx-256-gb/p/itm49f817b591982?pid=MOBFUE5GGWHFC37J&lid=LSTMOBFUE5GGWHFC37JNXZLYZ&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=7991f39e-95b8-44f2-a016-d520d29bb825.MOBFUE5GGWHFC37J.SEARCH&ppt=hp&ppn=homepage&ssid=tdydlgoc5s0000001672037748359&qH=53863d4d978d5074
